Location: shot_2
Time: 2017-11-05 10:54:29
Sampling Rate (ms): 2.0
Sample Number: 1000
Stack Count: 3

Chan:	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24
Data:	29196	 1862	 -268	 -125	  -79	  -62	 -160	 -206	 -277	  154	 -300	  135	  -75	  -78	  -92	  865	 -159	  438	 -433	 -490	 -602	 -198	 -566	  392
Data:	24112	 2080	 -137	  -91	  -62	  -78	 -194	 -239	 -324	  163	 -300	  149	  -40	  -75	 -102	  854	 -157	  438	 -425	 -515	 -598	 -145	 -546	  426
Data:	13414	 1875	   -4	  -61	  -25	  -70	 -214	 -263	 -370	  171	 -322	  187	  -31	  -76	 -112	  842	 -177	  411	 -457	 -538	 -590	 -158	 -538	  357
Data:	 2361	 1308	  122	  -23	   -2	  -58	 -228	 -284	 -410	  139	 -338	  174	  -30	  -80	 -106	  845	 -177	  397	 -433	 -577	 -550	 -127	 -557	  383
Data:	-3600	  528	  230	    1	   12	  -37	 -225	 -303	 -459	  117	 -333	  188	  -34	  -77	 -114	  836	 -177	  406	 -438	 -611	 -573	 -193	 -621	  322
Data:	-2593	 -275	  306	   23	   40	  -23	 -200	 -303	 -500	   99	 -340	  170	  -26	  -56	 -116	  835	 -200	  404	 -425	 -636	 -591	 -243	 -599	  288
Data:	 2826	 -882	  352	   62	   72	    0	 -193	 -296	 -554	   88	 -358	  162	   -9	  -64	 -112	  836	 -191	  397	 -457	 -616	 -586	 -216	 -632	  324
Data:	 8198	-1105	  349	  119	   86	   28	 -155	 -275	 -572	   62	 -387	  136	  -15	  -76	 -123	  822	 -182	  381	 -449	 -626	 -629	 -251	 -605	  297
Data:	 9339	 -857	  304	  158	   90	   47	  -98	 -247	 -557	   50	 -408	  126	  -31	  -69	 -126	  820	 -170	  379	 -465	 -611	 -585	 -196	 -598	  286
Data:	 3389	 -209	  221	  175	   83	   61	  -70	 -214	 -511	   39	 -417	  101	  -65	  -69	 -128	  819	 -166	  381	 -454	 -644	 -596	 -115	 -612	  303
Data:	-10001	  643	  109	  163	   72	   74	  -32	 -175	 -461	   51	 -394	   79	  -98	  -80	 -131	  811	 -173	  375	 -489	 -700	 -592	 -119	 -583	  307
Data:	-28692	 1409	   -9	  145	   64	   80	   -7	 -132	 -406	   77	 -385	   48	 -111	 -103	 -137	  803	 -180	  390	 -500	 -756	 -584	 -146	 -587	  341
Data:	-32767	 1787	 -112	  113	   61	   78	   14	 -115	 -335	  102	 -367	   67	 -104	 -116	 -145	  797	 -173	  383	 -500	 -817	 -578	 -211	 -597	  242
Data:	-32767	 1569	 -188	   60	   67	   64	   19	 -116	 -269	  133	 -343	   97	  -88	 -138	 -151	  787	 -202	  374	 -519	 -821	 -619	 -231	 -578	  299
Data:	-32767	  737	 -232	    1	   64	   50	   20	  -86	 -216	  147	 -300	  125	 -122	 -151	 -141	  807	 -213	  357	 -516	 -825	 -629	 -169	 -577	  328
Data:	-32767	 -521	 -241	  -61	   55	   42	    2	  -96	 -193	  184	 -270	  151	 -137	 -145	 -122	  822	 -222	  345	 -505	 -787	 -692	 -190	 -577	  261
Data:	-32767	-1876	 -226	 -109	   38	   32	  -20	 -125	 -186	  216	 -236	  186	  -99	 -129	 -126	  814	 -229	  321	 -500	 -724	 -714	 -166	 -614	  310
Data:	-32767	-2923	 -184	 -145	   19	   23	  -47	 -140	 -205	  217	 -227	  230	  -33	 -124	 -120	  820	 -252	  291	 -519	 -699	 -694	 -268	 -631	  295
Data:	-19573	-3329	 -100	 -180	    1	   23	  -74	 -135	 -251	  217	 -219	  265	   19	 -125	 -116	  839	 -254	  286	 -495	 -671	 -704	 -306	 -687	  343
Data:	 5559	-2923	   10	 -193	  -17	   22	  -92	 -152	 -259	  188	 -203	  273	   36	  -96	 -108	  847	 -265	  295	 -468	 -645	 -683	 -277	 -671	  333
Data:	30246	-1780	  121	 -198	  -35	   18	 -119	 -187	 -269	  170	 -221	  279	   31	  -64	 -115	  838	 -263	  304	 -454	 -626	 -680	 -271	 -629	  344
Data:	32767	 -216	  220	 -184	  -53	    6	 -139	 -210	 -318	  151	 -252	  256	   60	  -30	 -112	  839	 -243	  313	 -481	 -591	 -690	 -285	 -660	  335
